    PID TTY      STAT   TIME COMMAND
 123122 ?        Sl     0:00 /snap/code/85/usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=10891609271434716729,12427960908936657269,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --service-sandbox-type=none --no-sandbox --enable-crash-reporter=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel --global-crash-keys=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.63.2 --user-data-dir=/home/justin/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100
 123136 ?        Sl     4:38 /snap/code/85/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=10891609271434716729,12427960908936657269,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-crash-reporter=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel --global-crash-keys=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.63.2 --user-data-dir=/home/justin/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/snap/code/85/usr/share/code/resources/app --no-sandbox --no-zygote --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100 --vscode-window-config=vscode:939a6ce9-7ca3-4890-a049-eafbb01f4913
 123173 ?        Sl     2:41 /snap/code/85/usr/share/code/code --type=gpu-process --field-trial-handle=10891609271434716729,12427960908936657269,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-color-correct-rendering --no-sandbox --enable-crash-reporter=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel --global-crash-keys=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.63.2 --user-data-dir=/home/justin/.config/Code --gpu-preferences=UAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --use-gl=swiftshader-webgl --shared-files
 123192 ?        Sl     0:16 /snap/code/85/usr/share/code/code --type=renderer --disable-color-correct-rendering --no-sandbox --field-trial-handle=10891609271434716729,12427960908936657269,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --disable-gpu-compositing --lang=en-US --enable-crash-reporter=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel --global-crash-keys=6fca9977-e48f-4c78-9485-2e23e1f357dd,no_channel,_companyName=Microsoft,_productName=VSCode,_version=1.63.2 --user-data-dir=/home/justin/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/snap/code/85/usr/share/code/resources/app --no-sandbox --no-zygote --node-integration-in-worker --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100 --vscode-window-config=vscode:c63b7140-08f5-4f4b-b28b-ae9be065e5ee --vscode-window-kind=shared-process
 123207 ?        Sl     0:38 /snap/code/85/usr/share/code/code --ms-enable-electron-run-as-node --inspect-port=0 /snap/code/85/usr/share/code/resources/app/out/bootstrap-fork --type=extensionHost --skipWorkspaceStorageLock
 123231 ?        Sl     0:01 /snap/code/85/usr/share/code/code --ms-enable-electron-run-as-node /home/justin/.vscode/extensions/ms-azuretools.vscode-docker-1.19.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=123207
 123232 ?        Sl     0:02 /snap/code/85/usr/share/code/code --ms-enable-electron-run-as-node /home/justin/.vscode/extensions/ms-azuretools.vscode-docker-1.19.0/dist/compose-language-service/lib/server.js --node-ipc --node-ipc --clientProcessId=123207
 123257 ?        Sl     0:32 /snap/code/85/usr/share/code/code --ms-enable-electron-run-as-node /snap/code/85/usr/share/code/resources/app/out/bootstrap-fork --type=ptyHost
 123277 ?        Sl     0:03 /snap/code/85/usr/share/code/code --ms-enable-electron-run-as-node /snap/code/85/usr/share/code/resources/app/out/bootstrap-fork --type=watcherServiceParcelSharedProcess
 123285 pts/1    Ss+    0:00 /usr/bin/bash
 125040 ?        I      0:12 [kworker/0:1-events]
 126365 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 128602 ?        Sl     1:38 evince /home/justin/Downloads/Documents/Jeff Nickoloff, Stephen Kuenzli - Docker in Action-Manning Publications (2019).pdf
 128755 ?        Sl     0:01 /usr/libexec/gvfsd-recent --spawner :1.3 /org/gtk/gvfs/exec_spaw/4
 129164 ?        Sl     0:00 /usr/libexec/gvfsd-http --spawner :1.3 /org/gtk/gvfs/exec_spaw/5
 131018 ?        SLl    5:36 /opt/google/chrome/chrome --enable-crashpad
 131024 ?        S      0:00 cat
 131025 ?        S      0:00 cat
 131027 ?        Sl     0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/justin/.config/google-chrome/Crash Reports --metrics-dir=/home/justin/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 20.04.3 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=97.0.4692.71 --initial-client-fd=5 --shared-client-connection
 131029 ?        Sl     0:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/justin/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 20.04.3 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=97.0.4692.71 --initial-client-fd=4 --shared-client-connection
 131035 ?        S      0:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --enable-crashpad
 131036 ?        S      0:00 /opt/google/chrome/chrome --type=zygote --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --enable-crashpad
 131037 ?        S      0:00 /opt/google/chrome/nacl_helper
 131040 ?        S      0:00 /opt/google/chrome/chrome --type=zygote --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --enable-crashpad
 131064 ?        Sl    12:01 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=4592455885461335956,16945164941049075847,131072 --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABgAAAAAAAAAGAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files
 131066 ?        SLl    1:03 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --service-sandbox-type=none --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --enable-crashpad
 131067 ?        Sl     0:02 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --service-sandbox-type=utility --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100
 131164 ?        Sl     0:32 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --launch-time-ticks=94916435613 --shared-files=v8_context_snapshot_data:100
 131179 ?        Sl     0:29 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --launch-time-ticks=94916475364 --shared-files=v8_context_snapshot_data:100
 131192 ?        Sl     0:20 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=10 --launch-time-ticks=94916502538 --shared-files=v8_context_snapshot_data:100
 131206 ?        Sl     0:13 /opt/google/chrome/chrome --type=renderer --enable-crashpad --crashpad-handler-pid=131027 --enable-crash-reporter=5675b8fe-54ed-4259-8ea3-9979d998adf2, --extension-process --display-capture-permissions-policy-allowed --change-stack-guard-on-fork=enable --field-trial-handle=4592455885461335956,16945164941049075847,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11 --launch-time-ticks=94916518397 --shared-files=v8_context_snapshot_data:100
